Distinct_name	resident_num	longitude	latitude
东惠家园	2878	117.267856	39.161639
诚基经贸中心	7152	117.208542	39.123121
东瑞家园	3248	117.267208	39.163709
奥城公寓	3685	117.17686	39.082922
盛世嘉园	3576	117.263711	39.159828
万科四季花城	5111	117.044553	39.057813
时代奥城	3450	117.171691	39.083314
中海御湖翰苑	1450	117.155517	39.087788
风荷新园	1173	117.174378	39.13724
新城小区	4158	117.244525	39.095748
格调春天花园	1890	117.166056	39.141354
尚佳新苑	1752	117.185217	39.15068
富力湾天阔园	2533	117.095288	39.138001
仁恒海河广场	1552	117.198361	39.143187
富力城天霖园	1766	117.180521	39.145065
景兴西里	3369	117.226692	39.106714
城市之光月光园	1801	117.21914	39.14651
龙亭家园	1632	117.191832	39.150826
宝龙湾家园	1587	117.172022	39.146957
东康家园	984	117.268027	39.158681
富力城天越园	1611	117.18057	39.150021
富力津门湖江湾广场	1750	117.215699	39.068834
华亭国际	3220	117.078008	39.122225
华润橡树湾	5370	117.402324	39.180946
福盛花园	2262	117.233905	39.107568
阳光壹佰东园	2903	117.159323	39.077174
园荫里	1766	117.15162	39.096116
煦园新居	1031	117.192967	39.14553
首创国际半岛	5626	116.839353	39.643131
新汇华庭	1869	117.194909	39.140305
九州国际	1763	117.185949	39.143764
临渭佳园	1492	117.150084	39.140116
假日风景花园	2623	117.085906	39.129061
铜锣湾花园	768	117.194821	39.14418
富力又一城	13469	117.399436	39.008119
富力桃园天富园	2818	117.27840633615	39.038813268175
金领国际	1762	117.184861	39.155897
彩丽园	3494	117.296781	39.15747
海汇名邸	1253	117.231479	39.116725
城际美景家园	2461	117.122686	39.283081
北宁湾-宁宇家园	2264	117.215351	39.187218
金谷园	1415	117.164431	39.077638
兰江新苑	2710	117.261443	39.06112
天房美域豪庭	2541	117.195248	39.063252
金德园	1434	117.197134	39.124086
朗钜维尔蓝堤花园	1618	117.495629	39.197836
金狮家园	2509	117.212287	39.156065
海景雅苑	1481	117.246584	39.096679
文静里	1338	117.205464	39.099941
环球金融中心津塔公寓	690	117.208115	39.134968
水上温泉花园	1491	117.159378	39.086976
水郡花园	993	117.150703	39.152868
水畔花园	946	117.15796	39.147779
金茂广场	1341	117.188534	39.136918
艺术公寓	1709	117.194639	39.150805
富力城天康园	1200	117.180589	39.15049
静德花园	1691	117.194856	39.148958
蓝水园	873	117.219011	39.071741
仁恒河滨花园	2506	117.192928	39.165618
金湾花园	2403	117.259521	39.133875
海逸长洲瀚景园	1547	117.219661	39.064849
天华里	2758	117.142027	39.085825
龙都花园	1681	117.232039	39.106107
玉水园	1683	117.21982	39.077423
河怡花园	3328	117.139953	39.173079
第六大道第博雅园	2160	117.270844	39.121901
瑞海名苑	1863	117.20503	39.147832
锋泛国际	1074	117.148602	39.104607
湯臣津湾一品	2707	117.21636	39.135491
元兴新里	2352	117.214841	39.109691
大园新居	2216	117.139254	39.152693
香水园	1771	117.215791	39.076424
富邦花园	505	117.227692	39.112351
城市之星大厦	919	117.220034	39.149335
中豪世纪花园	623	117.225656	39.100788
新世界花园	831	117.191263	39.140365
俊城浅水湾	1726	117.164434	39.069744
吉利花园	1797	117.199419	39.123913
水岸江南天湾园	1067	117.23051	39.041381
新天地家园	1834	117.227473	39.147294
新春花苑	1889	117.174453	39.151994
宜天花园	1202	117.191364	39.129355
五一阳光皓日园	828	117.204344	39.080065
红磡领世郡普泰花园	2176	117.280931	39.026716
日华里	1385	117.135774	39.092224
金环里	1993	117.145898	39.105944
龙海公寓	2670	117.237651	39.10901
都会轩	953	117.206924	39.123009
凤仪园	745	117.184457	39.136979
兴业家园	1154	117.164211	39.130972
金地格林世界棕榈苑D区	3365	117.323882	39.053113
紫玉园	1354	117.283612	39.155079
融创中央学府	5051	117.39061	39.01161
居华里	2021	117.151072	39.084677
金合园	1137	117.163339	39.078917
晋丰大厦	1096	117.182901	39.143739
滨河新苑	4186	117.265179	39.091919
阳光壹佰西园	1920	117.157176	39.077006
前程里(河西区)	1258	117.227833	39.101605
春和仁居	2862	117.241397	39.182628
民畅园	2640	117.13709	39.172625
城市之光别馆公寓	682	117.220058	39.147027
敬重里	954	117.226638	39.115477
秋实园	1562	117.214169	39.150047
嘉畅园	1280	117.248584	39.184624
天津碧桂园	6651	117.341388	38.950537
新世纪城	1925	117.21178	39.080497
康达尚郡	625	117.136643	39.096693
芳水园	1049	117.216113	39.075367
地华里	1519	117.133072	39.091198
雅境新枫尚	1508	117.244765	39.046918
景福里	1423	117.229183	39.104061
安华里	2026	117.14853	39.08306
珠海里	2034	117.218288	39.105458
太阳城金旭园	2268	117.283348	39.165693
仁恒滨河湾	3440	117.39966	39.013685
水溪苑	2198	117.095422	39.130325
金厦里	1416	117.150778	39.102538
万科金域华府	3925	117.364295	39.091331
柏丽花园	2645	117.247655	39.150228
裕阳花园	1335	117.22059	39.143397
泰达星海湾	2485	117.697012	38.915181
中海八里臺	1779	117.189605	39.104082
花溪苑	1617	117.092512	39.128996
如意大厦	1054	117.178983	39.14339
阳光壹佰北园	2069	117.156771	39.079313
秀丽园	1690	117.29114	39.158359
北斗花园	1398	117.21887	39.157159
北开花园	1344	117.187355	39.160944
盈江西里	1591	117.141663	39.109544
四化里(河西)	1319	117.209498	39.106609
美丽心殿	1262	117.153853	39.114604
万科金色雅筑北苑	2226	117.312643	39.113692
观园公寓	1740	117.156748	39.088729
中海国际公园城		[]	
阳光星期八昕旺北苑	2114	117.26066	39.144068
凤园北里	1300	117.154504	39.096621
太阳城橙翠园	1821	117.283097	39.164212
富瀛洲花园	1964	117.233154	39.187657
朗文名邸	3664	117.198352	39.110517
瑞湾花园	930	117.138578	39.139934
保利大都会天汇雅苑	978	117.196105	39.138658
向荣里	1274	117.205222	39.101549
富裕广场	1511	117.235771	39.108806
红磡公寓	1126	117.178281	39.124912
尚都家园	2141	117.187406	39.159177
怀仁里	1128	117.176235	39.142319
林苑东里	1108	117.152296	39.09488
凯盛家园	895	117.136637	39.141317
佳音里	1182	117.179397	39.123338
景悦公寓	612	117.261699	39.115543
金融街融御-融景华庭	742	117.21213	39.136195
迎风里	1883	117.154037	39.090014
金田花园	2049	117.211862	39.158953
万科魅力之城兰雅苑	1608	117.367674	39.092591
保利金香槟	674	117.19644	39.140906
宝德里	984	117.225021	39.115162
